type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[86.1921944211, 23.754897530999997]",,JNNA,JAMUNIATANR HALT,,,
Feature,Point,"[86.193727, 23.762742]",,JMX,JAMUNI,,,
Feature,Point,"[86.226577, 23.77515]",,PLJE,PHULWARTANR,,,
Feature,Point,"[86.23544766479999, 23.7785572386]",,BDQ,BUDORA,,,
Feature,Point,"[86.252293, 23.788733]",,TNO,TUNDU,,,
Feature,Point,"[86.265063, 23.7915]",,SZE,SONARDIH,,,
Feature,Point,"[86.277173, 23.790335]",,TNJE,TENTULLA,,,
Feature,Point,"[86.302399, 23.795757000000002]",,KTH,KATRASGARH,,,
Feature,Point,"[86.319368, 23.793062]",,ANJE,ANGARPATHRA HALT,,,
Feature,Point,"[86.3297280994, 23.7901556866]",,SJA,SIJUA,,,
Feature,Point,"[86.354545, 23.789931]",,BZS,BANSJORA,,,
Feature,Point,"[86.381653, 23.786754]",,BZE,BASERIA,,,
Feature,Point,"[86.39589356020001, 23.7899886114]",,KDS,KASUNDA JN,,,
Feature,Point,"[87.8677507141, 25.5946164603]",,BWPB,BHAWANIPUR BIHAR,,,
Feature,Point,"[87.88715343380001, 25.6292447936]",,MFA,MAKURIA,,,
Feature,Point,"[87.9229421, 25.651242200000002]",,BOE,BARSOI JN,,,
Feature,Point,"[88.78193599999999, 26.334952]",,HDB,HALDIBARI,,,
Feature,Point,"[88.76856599999999, 26.384653999999998]",,KSBI,KASHIABARI,,,
Feature,Point,"[88.754758, 26.430757]",,MDG,MANDAL GHAT,,,
Feature,Point,"[88.73098599999999, 26.476201]",,KDX,KADABARI HAT,,,
Feature,Point,"[88.723026, 26.51816]",,JPG,JALPAIGURI,,,
Feature,Point,"[88.669651, 26.53055]",,MOP,MOHITNAGAR,,,
Feature,Point,"[87.8098941528, 25.4483399037]",,BAHN,BABHABGAON HALT,,,
Feature,Point,"[87.82685530639999, 25.4911139274]",,KWE,KHURIAL,,,
Feature,Point,"[87.8374616345, 25.5183120087]",,KMPH,KAMALPUR HALT,,,
Feature,Point,"[87.8523278357, 25.555555642399998]",,AZR,AZAMNAGAR ROAD,,,
Feature,,,,KHMP,KHEMPUR,,,
Feature,Point,"[87.890377, 25.706241000000002]",,SJGM,SANJAY GRAM,,,
Feature,Point,"[87.87948867189999, 25.727853611399997]",,SUD,SUDHANI,,,
Feature,Point,"[87.848322, 25.781637999999997]",,AHL,AJHARAIL,,,
Feature,Point,"[87.84221, 25.806579]",,TETA,TELTA,,,
Feature,Point,"[87.83887700000001, 25.873416]",,DLK,DALKOLHA,,,
Feature,Point,"[87.849258, 25.935932]",,SJKL,SURJA KAMAL,,,
Feature,Point,"[87.864524, 26.003232999999998]",,KKA,KANKI,,,
